line,station,file,total_flow,am_peak_flow,pm_peak_flow,peak_time,peak_flow
8号线,延吉中路,8号线_延吉中路.csv,27141.0,9651.0,7233.0,08:10,522.0
10号线,龙柏新村,10号线_龙柏新村.csv,26972.0,8746.0,8216.0,08:10,621.0
10号线,同济大学,10号线_同济大学.csv,26698.0,8862.0,7506.0,08:20,474.0
1号线,上海体育馆,1号线_上海体育馆.csv,26504.0,8813.0,7399.0,08:50,555.0
12号线,隆昌路,12号线_隆昌路.csv,26416.0,9385.0,7690.0,08:40,474.0
1号线,外环路,1号线_外环路.csv,26394.0,9749.0,7504.0,08:10,455.0
7号线,美兰湖,7号线_美兰湖.csv,26240.0,8245.0,6426.0,07:30,447.0
13号线,武宁路,13号线_武宁路.csv,26179.0,8582.0,7779.0,08:50,447.0
11号线,嘉定新城,11号线_嘉定新城.csv,25907.0,9217.0,7062.0,07:40,503.0
16号线,鹤沙航城,16号线_鹤沙航城.csv,25833.0,9271.0,7226.0,07:45,489.0
3号线,赤峰路,3号线_赤峰路.csv,25346.0,7774.0,7019.0,08:00,370.0
10号线,国权路,10号线_国权路.csv,25177.0,8937.0,7201.0,08:25,462.0
5号线,颛桥,5号线_颛桥.csv,25048.0,9012.0,7011.0,07:25,452.0
3号线,龙漕路,3号线_龙漕路.csv,24854.0,7537.0,7633.0,08:25,405.0
7号线,长清路,7号线_长清路.csv,24836.0,9167.0,6706.0,08:15,419.0
5号线,东川路,5号线_东川路.csv,24832.0,8197.0,7076.0,07:50,398.0
13号线,丰庄,13号线_丰庄.csv,24496.0,8676.0,7084.0,08:15,465.0
4号线,上海体育馆,4号线_上海体育馆.csv,24438.0,6534.0,7386.0,08:50,388.0
3号线,东宝兴路,3号线_东宝兴路.csv,24221.0,7902.0,6615.0,09:00,508.0
7号线,场中路,7号线_场中路.csv,24041.0,8360.0,6304.0,07:55,425.0
6号线,博兴路,6号线_博兴路.csv,23992.0,8878.0,7141.0,08:20,457.0
11号线,祁连山路,11号线_祁连山路.csv,23950.0,8886.0,6803.0,08:45,464.0
6号线,德平路,6号线_德平路.csv,23686.0,7682.0,6416.0,08:00,350.0
11号线,御桥,11号线_御桥.csv,23603.0,8326.0,6583.0,08:00,457.0
12号线,江浦公园,12号线_江浦公园.csv,23499.0,8296.0,6514.0,08:10,424.0
4号线,南浦大桥,4号线_南浦大桥.csv,23490.0,7769.0,6155.0,08:35,391.0
10号线,宋园路,10号线_宋园路.csv,23380.0,8495.0,7033.0,08:30,526.0
10号线,水城路,10号线_水城路.csv,23354.0,7306.0,6754.0,08:15,330.0
3号线,宝山路,3号线_宝山路.csv,23181.0,7252.0,5481.0,08:10,313.0
8号线,联航路,8号线_联航路.csv,23037.0,9074.0,6477.0,07:45,477.0
1号线,新闸路,1号线_新闸路.csv,22989.0,7681.0,5847.0,08:45,484.0
8号线,浦江镇,8号线_浦江镇.csv,22776.0,8167.0,6686.0,08:30,423.0
1号线,呼兰路,1号线_呼兰路.csv,22701.0,8984.0,5972.0,07:50,398.0
8号线,鞍山新村,8号线_鞍山新村.csv,22143.0,7152.0,6099.0,08:40,329.0
6号线,高科西路,6号线_高科西路.csv,22075.0,8017.0,6596.0,08:45,413.0
16号线,周浦东,16号线_周浦东.csv,21952.0,7533.0,6298.0,08:40,421.0
10号线,邮电新村,10号线_邮电新村.csv,21779.0,7646.0,6042.0,08:20,374.0
2号线,华夏东路,2号线_华夏东路.csv,21139.0,8042.0,5939.0,07:45,430.0
6号线,云山路,6号线_云山路.csv,21114.0,7334.0,6190.0,08:05,382.0
8号线,嫩江路,8号线_嫩江路.csv,20861.0,6327.0,6104.0,08:10,292.0
12号线,金海路,12号线_金海路.csv,20738.0,7715.0,5581.0,07:45,520.0
12号线,国际客运中心,12号线_国际客运中心.csv,20733.0,7986.0,6621.0,08:45,505.0
9号线,松江体育中心,9号线_松江体育中心.csv,20477.0,6545.0,5247.0,07:15,425.0
11号线,上海游泳馆,11号线_上海游泳馆.csv,20121.0,6922.0,6138.0,08:40,386.0
9号线,松江新城,9号线_松江新城.csv,19601.0,6169.0,4933.0,07:35,295.0
7号线,东安路,7号线_东安路.csv,19573.0,6010.0,3225.0,09:15,225.0
11号线,马陆,11号线_马陆.csv,19414.0,6615.0,5259.0,07:45,392.0
6号线,临沂新村,6号线_临沂新村.csv,19169.0,7381.0,5596.0,08:45,380.0
6号线,源深体育中心,6号线_源深体育中心.csv,19081.0,6071.0,5502.0,08:35,375.0
11号线,三林东,11号线_三林东.csv,18919.0,6673.0,5449.0,07:40,309.0
7号线,镇坪路,7号线_镇坪路.csv,18824.0,6367.0,5368.0,08:35,344.0
3号线,石龙路,3号线_石龙路.csv,18796.0,6620.0,5270.0,08:15,335.0
6号线,五莲路,6号线_五莲路.csv,18628.0,5536.0,5600.0,08:10,272.0
2号线,浦东国际机场,2号线_浦东国际机场.csv,18503.0,3944.0,3652.0,11:20,201.0
1号线,常熟路,1号线_常熟路.csv,18432.0,5973.0,4706.0,08:55,268.0
11号线,安亭,11号线_安亭.csv,18253.0,4857.0,5098.0,07:35,244.0
6号线,高青路,6号线_高青路.csv,18199.0,6841.0,5133.0,08:15,421.0
10号线,上海图书馆,10号线_上海图书馆.csv,18145.0,5307.0,4743.0,08:15,233.0
11号线,嘉定西,11号线_嘉定西.csv,18090.0,5713.0,5259.0,07:25,340.0
12号线,提篮桥,12号线_提篮桥.csv,18072.0,6958.0,5233.0,08:50,424.0
5号线,北桥,5号线_北桥.csv,18001.0,6432.0,4914.0,07:20,321.0
1号线,衡山路,1号线_衡山路.csv,17468.0,5345.0,4731.0,17:45,244.0
16号线,新场,16号线_新场.csv,17258.0,5579.0,4685.0,07:35,339.0
8号线,翔殷路,8号线_翔殷路.csv,17236.0,5603.0,4273.0,08:00,261.0
12号线,东陆路,12号线_东陆路.csv,17207.0,6424.0,4876.0,08:00,368.0
7号线,云台路,7号线_云台路.csv,17167.0,5981.0,4498.0,08:20,274.0
10号线,航中路,10号线_航中路.csv,17031.0,6812.0,4684.0,07:55,420.0
3号线,虹口足球场,3号线_虹口足球场.csv,16993.0,6183.0,3929.0,08:55,315.0
11号线,浦三路,11号线_浦三路.csv,16768.0,6140.0,4790.0,07:55,298.0
8号线,中华艺术宫,8号线_中华艺术宫.csv,16596.0,3783.0,4279.0,18:20,210.0
9号线,中春路,9号线_中春路.csv,16352.0,6284.0,4747.0,08:05,323.0
12号线,爱国路,12号线_爱国路.csv,16321.0,5649.0,4710.0,08:05,340.0
10号线,新江湾城,10号线_新江湾城.csv,16307.0,6139.0,4672.0,08:20,316.0
3号线,淞浜路,3号线_淞浜路.csv,16284.0,5369.0,4186.0,18:50,298.0
12号线,金京路,12号线_金京路.csv,16223.0,6007.0,4641.0,08:00,437.0
6号线,东明路,6号线_东明路.csv,16179.0,6001.0,4373.0,08:05,313.0
5号线,金平路,5号线_金平路.csv,15914.0,5165.0,4148.0,07:30,282.0
10号线,龙溪路,10号线_龙溪路.csv,15847.0,5457.0,4413.0,08:35,269.0
7号线,刘行,7号线_刘行.csv,15753.0,5768.0,3911.0,07:40,360.0
11号线,白银路,11号线_白银路.csv,15690.0,5366.0,4285.0,07:30,289.0
6号线,民生路,6号线_民生路.csv,15332.0,5217.0,4515.0,08:10,305.0
11号线,花桥,11号线_花桥.csv,15330.0,4873.0,3630.0,07:20,281.0
3号线,宜山路,3号线_宜山路.csv,15080.0,5031.0,4276.0,08:45,519.0
9号线,洞泾,9号线_洞泾.csv,15074.0,5550.0,3748.0,08:05,365.0
4号线,海伦路,4号线_海伦路.csv,15065.0,4653.0,4463.0,08:30,203.0
3号线,江杨北路,3号线_江杨北路.csv,15030.0,5304.0,4034.0,07:30,356.0
7号线,龙阳路,7号线_龙阳路.csv,14993.0,4821.0,5046.0,18:15,278.0
7号线,罗南新村,7号线_罗南新村.csv,14937.0,4994.0,3978.0,07:25,290.0
11号线,真如,11号线_真如.csv,14920.0,5173.0,3805.0,08:40,250.0
7号线,上大路,7号线_上大路.csv,14909.0,5582.0,4093.0,08:15,285.0
3号线,友谊路,3号线_友谊路.csv,14776.0,5045.0,3682.0,07:50,274.0
6号线,灵岩南路,6号线_灵岩南路.csv,14726.0,5380.0,4246.0,18:50,284.0
9号线,星中路,9号线_星中路.csv,14695.0,4570.0,3971.0,08:05,228.0
6号线,上海儿童医学中心,6号线_上海儿童医学中心.csv,14519.0,5135.0,3414.0,08:10,224.0
10号线,上海动物园,10号线_上海动物园.csv,14192.0,4772.0,3627.0,08:10,324.0
6号线,蓝村路,6号线_蓝村路.csv,13915.0,4738.0,3866.0,08:35,256.0
3号线,漕溪路,3号线_漕溪路.csv,13745.0,4363.0,4028.0,08:45,334.0
12号线,杨高北路,12号线_杨高北路.csv,13739.0,4839.0,3919.0,07:50,276.0
6号线,北洋泾路,6号线_北洋泾路.csv,13339.0,4176.0,3585.0,08:05,184.0
8号线,黄兴公园,8号线_黄兴公园.csv,13251.0,4428.0,3700.0,08:00,216.0
5号线,剑川路,5号线_剑川路.csv,13211.0,4488.0,3728.0,07:30,280.0
12号线,巨峰路,12号线_巨峰路.csv,13209.0,5000.0,4162.0,07:50,283.0
6号线,上南路,6号线_上南路.csv,12995.0,4778.0,3713.0,08:10,257.0
6号线,航津路,6号线_航津路.csv,12843.0,4383.0,3618.0,08:15,263.0
11号线,兆丰路,11号线_兆丰路.csv,12726.0,4122.0,3465.0,07:40,219.0
6号线,东靖路,6号线_东靖路.csv,12718.0,4866.0,3372.0,07:55,319.0
7号线,祁华路,7号线_祁华路.csv,12418.0,4529.0,3135.0,07:45,268.0
8号线,凌兆新村,8号线_凌兆新村.csv,12041.0,4118.0,3341.0,07:55,211.0
5号线,银都路,5号线_银都路.csv,12002.0,4713.0,3708.0,08:10,286.0
3号线,淞发路,3号线_淞发路.csv,11919.0,4424.0,3364.0,08:10,260.0
6号线,华夏西路,6号线_华夏西路.csv,11701.0,4346.0,3100.0,07:35,211.0
7号线,大场镇,7号线_大场镇.csv,11578.0,4288.0,3258.0,08:10,254.0
6号线,外高桥保税区南,6号线_外高桥保税区南.csv,11537.0,4596.0,3272.0,08:40,327.0
3号线,水产路,3号线_水产路.csv,11328.0,4131.0,3008.0,08:15,252.0
10号线,虹桥1号航站楼,10号线_虹桥1号航站楼.csv,11259.0,3640.0,2800.0,08:15,440.0
6号线,巨峰路,6号线_巨峰路.csv,11106.0,3848.0,3369.0,08:05,230.0
13号线,金沙江西路,13号线_金沙江西路.csv,11019.0,4165.0,3131.0,08:30,236.0
9号线,醉白池,9号线_醉白池.csv,10396.0,3195.0,2305.0,07:25,188.0
3号线,宝杨路,3号线_宝杨路.csv,10349.0,3434.0,2370.0,08:00,222.0
6号线,外高桥保税区北,6号线_外高桥保税区北.csv,10321.0,3444.0,2463.0,08:30,159.0
7号线,南陈路,7号线_南陈路.csv,10241.0,3920.0,2625.0,07:55,251.0
5号线,华宁路,5号线_华宁路.csv,10183.0,3749.0,2493.0,07:40,273.0
16号线,上海野生动物园,16号线_上海野生动物园.csv,10042.0,3336.0,2454.0,08:20,184.0
1号线,友谊西路,1号线_友谊西路.csv,10001.0,3615.0,2746.0,07:50,175.0
10号线,三门路,10号线_三门路.csv,9063.0,3634.0,2720.0,08:50,178.0
6号线,洲海路,6号线_洲海路.csv,8906.0,3049.0,2287.0,08:10,190.0
12号线,申江路,12号线_申江路.csv,8721.0,3625.0,2251.0,08:00,243.0
5号线,春申路,5号线_春申路.csv,8664.0,3079.0,2596.0,07:55,148.0
16号线,滴水湖,16号线_滴水湖.csv,8479.0,2185.0,1415.0,15:50,127.0
11号线,罗山路,11号线_罗山路.csv,8374.0,3411.0,2493.0,08:25,203.0
6号线,东方体育中心,6号线_东方体育中心.csv,8344.0,2888.0,2542.0,08:25,173.0
6号线,港城路,6号线_港城路.csv,8167.0,3004.0,2044.0,08:05,181.0
11号线,龙耀路,11号线_龙耀路.csv,7786.0,3001.0,2289.0,08:10,170.0
5号线,闵行开发区,5号线_闵行开发区.csv,7727.0,2829.0,1968.0,07:30,146.0
11号线,上海汽车城,11号线_上海汽车城.csv,7616.0,2597.0,1945.0,07:25,200.0
11号线,云锦路,11号线_云锦路.csv,7376.0,2749.0,2254.0,08:50,206.0
11号线,光明路,11号线_光明路.csv,7236.0,2206.0,1889.0,07:35,131.0
16号线,书院,16号线_书院.csv,6306.0,1657.0,1553.0,07:00,124.0
6号线,五洲大道,6号线_五洲大道.csv,6304.0,1958.0,1457.0,07:10,107.0
7号线,潘广路,7号线_潘广路.csv,6250.0,2176.0,1491.0,07:30,145.0
16号线,临港大道,16号线_临港大道.csv,6000.0,1030.0,1000.0,12:05,82.0
2号线,凌空路,2号线_凌空路.csv,5860.0,2150.0,1489.0,08:00,145.0
10号线,殷高东路,10号线_殷高东路.csv,5760.0,2342.0,1623.0,08:05,141.0
10号线,紫藤路,10号线_紫藤路.csv,5739.0,2020.0,1769.0,08:20,169.0
16号线,航头东,16号线_航头东.csv,5656.0,2038.0,1564.0,07:45,148.0
3号线,铁力路,3号线_铁力路.csv,5602.0,2233.0,1399.0,07:55,210.0
7号线,后滩,7号线_后滩.csv,5401.0,2247.0,1650.0,08:40,167.0
11号线,昌吉东路,11号线_昌吉东路.csv,5267.0,1655.0,1553.0,07:25,102.0
16号线,龙阳路,16号线_龙阳路.csv,5104.0,1841.0,1319.0,08:05,135.0
9号线,松江南站,9号线_松江南站.csv,4797.0,1402.0,1193.0,08:00,82.0
11号线,武威路,11号线_武威路.csv,4587.0,1678.0,1082.0,07:55,107.0
11号线,上海赛车场,11号线_上海赛车场.csv,4576.0,1430.0,1054.0,07:20,81.0
5号线,文井路,5号线_文井路.csv,4459.0,1898.0,1310.0,17:05,157.0
2号线,创新中路,2号线_创新中路.csv,3267.0,1122.0,883.0,07:45,71.0
16号线,惠南东,16号线_惠南东.csv,3177.0,1062.0,715.0,07:05,111.0
3号线,张华浜,3号线_张华浜.csv,3074.0,1073.0,720.0,08:10,68.0
2号线,远东大道,2号线_远东大道.csv,3010.0,881.0,734.0,07:35,45.0
2号线,海天三路,2号线_海天三路.csv,2969.0,1256.0,442.0,08:05,94.0
12号线,复兴岛,12号线_复兴岛.csv,2404.0,764.0,514.0,16:45,80.0
16号线,华夏中路,16号线_华夏中路.csv,1740.0,619.0,605.0,08:45,48.0
